STID,Wind Sensor Height (m),Provider,Start Time,End Time,obs_time,obs_time_years
BKSC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:59:00Z,9255 days 21:59:00,25.3413168301772
BUFC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:40:00Z,9255 days 21:40:00,25.341280705757093
BCNC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-10-13T00:00:00Z,2025-04-04T21:51:00Z,9305 days 21:51:00,25.478194159251654
PEAC1,6.1,"Bureau of Land Management, San Francisco Public Utility",1999-12-02T00:00:00Z,2025-04-04T21:18:00Z,9255 days 21:18:00,25.341238877481178
CLNC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:16:00Z,9255 days 21:16:00,25.34123507491064
CMNC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-10-13T00:00:00Z,2025-04-04T22:04:00Z,9305 days 22:04:00,25.47821887596015
CNIC1,6.1,"Bureau of Land Management, Los Angeles Fire Department",1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
CAZC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
CSPC1,6.1,"Bureau of Land Management, US Marine Corps Fire Center Pendleton",1999-12-02T00:00:00Z,2025-04-04T21:22:00Z,9255 days 21:22:00,25.341246482622253
SMTM8,6.1,"Bureau of Land Management, USDA Forest Service",2001-04-03T00:00:00Z,2025-04-04T21:09:00Z,8767 days 21:09:00,24.00515058179329
CNFC1,6.1,"Bureau of Land Management, National Park Service",2000-04-26T00:00:00Z,2025-04-04T22:00:00Z,9109 days 22:00:00,24.94159251654118
CEEC1,6.1,"Bureau of Land Management, National Park Service",1999-12-02T00:00:00Z,2025-04-04T21:38:00Z,9255 days 21:38:00,25.341276903186554
CESC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T22:02:00Z,9255 days 22:02:00,25.341322534033008
CICC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:54:00Z,9255 days 21:54:00,25.341307323750854
CHOC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:53:00Z,9255 days 21:53:00,25.341305422465588
CUUC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:22:00Z,9255 days 21:22:00,25.341246482622253
CMOC1,6.1,"Bureau of Land Management, Los Angeles Fire Department",1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
CSTC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
CVEC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-10-13T00:00:00Z,2025-04-04T21:09:00Z,9305 days 21:09:00,25.478114305270363
PTEC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:08:00Z,9255 days 21:08:00,25.34121986462849
CRGC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
CTOC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:27:00Z,9255 days 21:27:00,25.341255989048598
WISC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:36:00Z,9255 days 21:36:00,25.341273100616018
CRZC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:38:00Z,9255 days 21:38:00,25.341276903186554
CRVC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:53:00Z,9255 days 21:53:00,25.341305422465588
DLVC1,6.1,"Bureau of Land Management, Los Angeles Fire Department",1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
DENC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-10-13T00:00:00Z,2025-04-04T22:04:00Z,9305 days 22:04:00,25.47821887596015
ATSC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
DVOC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:10:00Z,9255 days 21:10:00,25.341223667199028
DBLC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
RRRC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:13:00Z,9255 days 21:13:00,25.341229371054833
DYLC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:11:00Z,9255 days 21:11:00,25.341225568484294
EELC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:45:00Z,9255 days 21:45:00,25.341290212183434
ECSC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:20:00Z,9255 days 21:20:00,25.341242680051714
ESPC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:13:00Z,9255 days 21:13:00,25.341229371054833
FCHC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
FWSC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-10-13T00:00:00Z,2025-04-04T21:34:00Z,9305 days 21:34:00,25.478161837402084
FHCC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-10-13T00:00:00Z,2025-04-04T21:26:00Z,9305 days 21:26:00,25.478146627119933
FTNC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
FRCC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
FMOC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:16:00Z,9255 days 21:16:00,25.34123507491064
GNTC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:50:00Z,9255 days 21:50:00,25.34129971860978
GRSC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:47:00Z,9255 days 21:47:00,25.341294014753974
GNSC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T22:03:00Z,9255 days 22:03:00,25.341324435318274
CAHC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:11:00Z,9255 days 21:11:00,25.341225568484294
