STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
LRAN5,LAGUNA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.051970,-107.420280,2004-12-03T00:00:00Z,2025-04-04T21:33:00Z,7427 days 21:33:00,20.33647615788273
RMAN5,RAMAH,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.819690,-108.294670,2004-12-03T00:00:00Z,2025-04-04T21:34:00Z,7427 days 21:34:00,20.336478059167998
QENN5,QUEEN,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.203610,-104.690310,2004-12-14T00:00:00Z,2025-04-04T21:13:00Z,7416 days 21:13:00,20.3063217735189
BMRN5,BLACK MESA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.037080,-106.049640,2005-11-22T00:00:00Z,2025-04-04T21:34:00Z,7073 days 21:34:00,19.367278880523234
MLCN5,MILLS CANYON,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.0550,-104.324440,2005-04-13T00:00:00Z,2025-04-04T21:05:00Z,7296 days 21:05:00,19.977764468780897
DLCN5,DULCE #2,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.935190,-107.000110,2005-07-07T00:00:00Z,2025-04-04T21:28:00Z,7211 days 21:28:00,19.74509088143585
BMTN5,BURRO MOUNTAIN,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.671940,-108.539720,2005-09-27T00:00:00Z,2025-04-04T21:59:00Z,7129 days 21:59:00,19.520646056734353
SEVN5,SEVILLETA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.358440,-106.689460,2006-02-24T00:00:00Z,2025-04-04T21:11:00Z,6979 days 21:11:00,19.109877176971633
MRRN5,MELROSE RANGE,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.284220,-103.714970,2006-03-01T00:00:00Z,2025-04-04T21:14:00Z,6974 days 21:14:00,19.09619362689178
WDRN5,WILD RIVERS,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.694690,-105.668720,2007-08-14T00:00:00Z,2025-04-04T21:49:00Z,6443 days 21:49:00,17.642461403909042
LUAN5,LUNA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.822920,-108.943170,2011-04-11T00:00:00Z,2025-04-04T21:07:00Z,5107 days 21:07:00,13.984612898319265
RESN5,RESERVE,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.714940,-108.777140,2011-04-07T00:00:00Z,2025-04-04T21:08:00Z,5111 days 21:08:00,13.99556620275306
CZZN5,Carrizozo 1W,NM,NMCC,New Mexico Climate Center,3.0,33.64761,-105.89449,2023-05-04T17:43:00Z,2025-04-04T21:55:00Z,701 days 04:12:00,1.919712525667351
TT106,GILA QD2,NM,RAWS,Interagency Remote Automatic Weather Stations,2.0,33.004050,-108.040380,2012-03-01T00:00:00Z,2025-04-03T16:07:00Z,4781 days 16:07:00,13.091503156133546
NMC01,Artesia ASC,NM,NMCC,New Mexico Climate Center,3.0,32.75400,-104.38379,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
NMC02,Fabian Garcia RC,NM,NMCC,New Mexico Climate Center,3.0,32.27900,-106.77100,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
FASN5,Farmington ASC,NM,NMCC,New Mexico Climate Center,3.0,36.68651,-108.31011,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
